Year,Municipality,Origin_Country,Age_Group,Employment_Sector,Count,Lat,Lon
2018,Aller,Rumanía,18-25,Services,1,43.147798808162605,-5.644884547313431
2018,Aller,Rumanía,18-25,Agriculture,1,43.16564650880799,-5.662916790178314
2018,Aller,Rumanía,18-25,Construction,1,43.148815516348186,-5.650385512008005
2018,Aller,Rumanía,18-25,Industry,1,43.14280901998943,-5.633473821846487
2018,Aller,Rumanía,18-25,Unemployed/Seeking,1,43.14045938799049,-5.639504034805948
2018,Aller,Rumanía,26-35,Services,1,43.13596458049765,-5.6630313776172025
2018,Aller,Rumanía,26-35,Agriculture,2,43.16519806670763,-5.633105544860058
2018,Aller,Rumanía,26-35,Construction,2,43.13298572273057,-5.633652027332976
2018,Aller,Rumanía,26-35,Industry,2,43.152695120930126,-5.6693922901180365
2018,Aller,Rumanía,26-35,Unemployed/Seeking,2,43.1500536637457,-5.635633229436619
2018,Aller,Rumanía,36-50,Services,1,43.133455172478335,-5.646062771147732
2018,Aller,Rumanía,36-50,Agriculture,1,43.139704469255356,-5.655763111117355
2018,Aller,Rumanía,36-50,Construction,1,43.14184033773078,-5.663787535975505
2018,Aller,Rumanía,36-50,Industry,1,43.16272475490974,-5.641062091435862
2018,Aller,Rumanía,36-50,Unemployed/Seeking,1,43.16518912394438,-5.636932130351463
2018,Aller,Rumanía,51-65,Services,1,43.15607540576525,-5.6478191986483175
2018,Aller,Rumanía,51-65,Agriculture,1,43.149515064266076,-5.640703614148754
2018,Aller,Rumanía,51-65,Construction,1,43.16967326520408,-5.633762304960186
2018,Aller,Rumanía,51-65,Industry,1,43.167406606200636,-5.645943894830413
2018,Aller,Rumanía,51-65,Unemployed/Seeking,1,43.1631261994958,-5.640428095018432
2018,Aller,Rumanía,65+,Services,1,43.13459908742482,-5.662571375528251
2018,Aller,Rumanía,65+,Agriculture,1,43.14747080084759,-5.649930733978622
2018,Aller,Rumanía,65+,Construction,2,43.13405270315562,-5.659206406297826
2018,Aller,Rumanía,65+,Industry,1,43.14154642479431,-5.663450285757216
2018,Aller,Rumanía,65+,Unemployed/Seeking,1,43.14124425094267,-5.650269341747938
2018,Aller,Marruecos,18-25,Services,1,43.158793822072546,-5.667144331630552
2018,Aller,Marruecos,18-25,Agriculture,1,43.155036796129465,-5.669714730701808
2018,Aller,Marruecos,18-25,Construction,1,43.13628895949711,-5.668976967482649
2018,Aller,Marruecos,18-25,Industry,1,43.130809292805075,-5.667409074133925
2018,Aller,Marruecos,18-25,Unemployed/Seeking,1,43.15746791321557,-5.632502376124475
2018,Aller,Marruecos,26-35,Services,1,43.131535364156484,-5.65082768884693
2018,Aller,Marruecos,26-35,Agriculture,1,43.14419326781232,-5.661049948455821
2018,Aller,Marruecos,26-35,Construction,1,43.13375378736133,-5.6410012350182885
2018,Aller,Marruecos,26-35,Industry,1,43.156222328156225,-5.631962209938192
2018,Aller,Marruecos,26-35,Unemployed/Seeking,1,43.15982263444597,-5.6667074880003785
2018,Aller,Marruecos,36-50,Services,1,43.145143150485794,-5.640142709468887
2018,Aller,Marruecos,36-50,Agriculture,1,43.16003181247404,-5.646637444889391
2018,Aller,Marruecos,36-50,Construction,2,43.1302370127675,-5.658294233453381
2018,Aller,Marruecos,36-50,Industry,1,43.13364811333873,-5.648640259257343
2018,Aller,Marruecos,36-50,Unemployed/Seeking,1,43.15788843622722,-5.665971343222499
2018,Aller,Marruecos,51-65,Services,1,43.162946833547785,-5.647172836048023
2018,Aller,Marruecos,51-65,Agriculture,1,43.1300526161142,-5.660119556487775
2018,Aller,Marruecos,51-65,Construction,1,43.14827157835411,-5.6533049372910655
2018,Aller,Marruecos,51-65,Industry,1,43.15186656348714,-5.65362810431451
2018,Aller,Marruecos,51-65,Unemployed/Seeking,1,43.14553689082437,-5.669907297332897
2018,Aller,Marruecos,65+,Services,1,43.15784666133698,-5.648088685408152
2018,Aller,Marruecos,65+,Agriculture,1,43.132452176914086,-5.631800264467219
2018,Aller,Marruecos,65+,Construction,1,43.151912000149636,-5.66519049510062
2018,Aller,Marruecos,65+,Industry,1,43.1615141459344,-5.661634779020006
2018,Aller,Marruecos,65+,Unemployed/Seeking,1,43.14626493723847,-5.631585285853345
2018,Aller,Colombia,18-25,Services,1,43.16840340145976,-5.666038359200609
2018,Aller,Colombia,18-25,Agriculture,1,43.149828595015535,-5.645839713985529
2018,Aller,Colombia,18-25,Construction,1,43.13605547353241,-5.65382925600486
2018,Aller,Colombia,18-25,Industry,1,43.14686866813948,-5.648567948339816
2018,Aller,Colombia,18-25,Unemployed/Seeking,1,43.15449698471731,-5.630296964054824
2018,Aller,Colombia,26-35,Services,1,43.149840513629954,-5.64167825171806
2018,Aller,Colombia,26-35,Agriculture,1,43.166218241559925,-5.637178044185104
2018,Aller,Colombia,26-35,Construction,1,43.13485345928722,-5.63365197839438
2018,Aller,Colombia,26-35,Industry,1,43.143752017717595,-5.638821116083819
2018,Aller,Colombia,26-35,Unemployed/Seeking,1,43.14940346723118,-5.640839353916966
2018,Aller,Colombia,36-50,Services,2,43.15489771760942,-5.637077149129939
2018,Aller,Colombia,36-50,Agriculture,1,43.132949802430126,-5.667900944195949
2018,Aller,Colombia,36-50,Construction,1,43.1613855576296,-5.6572292670076605
2018,Aller,Colombia,36-50,Industry,1,43.131134158346185,-5.641778218519954
2018,Aller,Colombia,36-50,Unemployed/Seeking,1,43.15261527206357,-5.659386564146531
2018,Aller,Colombia,51-65,Services,1,43.13559678957404,-5.651818540333411
2018,Aller,Colombia,51-65,Agriculture,1,43.160398989581445,-5.6513503509324226
2018,Aller,Colombia,51-65,Construction,1,43.14188818213682,-5.635421649189088
2018,Aller,Colombia,51-65,Industry,1,43.14192163056908,-5.654508935306008
2018,Aller,Colombia,51-65,Unemployed/Seeking,1,43.130895495273656,-5.652302508032971
2018,Aller,Colombia,65+,Services,1,43.142013655476575,-5.640007985279888
2018,Aller,Colombia,65+,Agriculture,1,43.16769983344726,-5.6319196645368255
2018,Aller,Colombia,65+,Construction,1,43.13851007205053,-5.645318789161918
2018,Aller,Colombia,65+,Industry,1,43.157613531282806,-5.648544295233185
2018,Aller,Colombia,65+,Unemployed/Seeking,1,43.15202418752773,-5.652110999153017
2018,Aller,Venezuela,18-25,Services,1,43.13468534259935,-5.638331018623699
