Periodo,Total_Unemployment,Male_Unemployment,Female_Unemployment,Year
1996,1146,403,743,1996
1997,1059,378,681,1997
1998,972,371,601,1998
1999,763,278,484,1999
2000,735,246,490,2000
2001,710,223,487,2001
2002,761,244,517,2002
2003,765,251,513,2003
2004,741,254,487,2004
2005,741,254,488,2005
2006,692,248,444,2006
2007,689,257,431,2007
2008,765,324,440,2008
2009,905,428,477,2009
2010,957,479,478,2010
2011,1053,517,536,2011
2012,1169,600,569,2012
2013,1219,639,581,2013
2014,1123,568,555,2014
2015,1019,505,513,2015
2016,905,448,457,2016
2017,786,391,395,2017
2018,707,335,372,2018
2019,661,321,340,2019
2020,728,360,367,2020
2021,674,308,366,2021
2022,589,258,331,2022
2023,535,235,300,2023
2024,538,247,291,2024
2025,505,207,298,2025
