Nacionalidad;Periodo;Total
Española;1 de abril de 2026;17.200
Española;1 de enero de 2026;18.500
Española;1 de octubre de 2025;24.500
Española;1 de julio de 2025;18.700
Española;1 de abril de 2025;18.100
Española;1 de enero de 2025;19.700
Española;1 de octubre de 2024;25.200
Española;1 de julio de 2024;20.600
Española;1 de abril de 2024;18.500
Española;1 de enero de 2024;19.500
Española;1 de octubre de 2023;23.600
Española;1 de julio de 2023;19.900
Española;1 de abril de 2023;18.400
Bélgica;1 de abril de 2026;..
Bélgica;1 de enero de 2026;..
Bélgica;1 de octubre de 2025;..
Bélgica;1 de julio de 2025;..
Bélgica;1 de abril de 2025;..
Bélgica;1 de enero de 2025;..
Bélgica;1 de octubre de 2024;..
Bélgica;1 de julio de 2024;..
Bélgica;1 de abril de 2024;..
Bélgica;1 de enero de 2024;..
Bélgica;1 de octubre de 2023;..
Bélgica;1 de julio de 2023;..
Bélgica;1 de abril de 2023;..
Bulgaria;1 de abril de 2026;..
Bulgaria;1 de enero de 2026;..
Bulgaria;1 de octubre de 2025;..
Bulgaria;1 de julio de 2025;..
Bulgaria;1 de abril de 2025;..
Bulgaria;1 de enero de 2025;..
Bulgaria;1 de octubre de 2024;..
Bulgaria;1 de julio de 2024;..
Bulgaria;1 de abril de 2024;..
Bulgaria;1 de enero de 2024;..
Bulgaria;1 de octubre de 2023;..
Bulgaria;1 de julio de 2023;..
Bulgaria;1 de abril de 2023;..
Dinamarca;1 de abril de 2026;..
Dinamarca;1 de enero de 2026;..
Dinamarca;1 de octubre de 2025;..
Dinamarca;1 de julio de 2025;..
Dinamarca;1 de abril de 2025;..
Dinamarca;1 de enero de 2025;..
Dinamarca;1 de octubre de 2024;..
Dinamarca;1 de julio de 2024;..
Dinamarca;1 de abril de 2024;..
Dinamarca;1 de enero de 2024;..
Dinamarca;1 de octubre de 2023;..
Dinamarca;1 de julio de 2023;..
Dinamarca;1 de abril de 2023;..
Finlandia;1 de abril de 2026;..
Finlandia;1 de enero de 2026;..
Finlandia;1 de octubre de 2025;..
Finlandia;1 de julio de 2025;..
Finlandia;1 de abril de 2025;..
Finlandia;1 de enero de 2025;..
Finlandia;1 de octubre de 2024;..
Finlandia;1 de julio de 2024;..
Finlandia;1 de abril de 2024;..
Finlandia;1 de enero de 2024;..
Finlandia;1 de octubre de 2023;..
Finlandia;1 de julio de 2023;..
Finlandia;1 de abril de 2023;..
Francia;1 de abril de 2026;..
Francia;1 de enero de 2026;..
Francia;1 de octubre de 2025;..
Francia;1 de julio de 2025;..
Francia;1 de abril de 2025;..
Francia;1 de enero de 2025;..
Francia;1 de octubre de 2024;..
Francia;1 de julio de 2024;..
Francia;1 de abril de 2024;..
Francia;1 de enero de 2024;..
Francia;1 de octubre de 2023;..
Francia;1 de julio de 2023;..
Francia;1 de abril de 2023;..
Irlanda;1 de abril de 2026;..
Irlanda;1 de enero de 2026;..
Irlanda;1 de octubre de 2025;..
Irlanda;1 de julio de 2025;..
Irlanda;1 de abril de 2025;..
Irlanda;1 de enero de 2025;..
Irlanda;1 de octubre de 2024;..
Irlanda;1 de julio de 2024;..
Irlanda;1 de abril de 2024;..
Irlanda;1 de enero de 2024;..
Irlanda;1 de octubre de 2023;..
Irlanda;1 de julio de 2023;..
Irlanda;1 de abril de 2023;..
Italia;1 de abril de 2026;7.800
Italia;1 de enero de 2026;8.400
Italia;1 de octubre de 2025;8.100
Italia;1 de julio de 2025;8.500
Italia;1 de abril de 2025;8.500
Italia;1 de enero de 2025;8.900
Italia;1 de octubre de 2024;9.000
Italia;1 de julio de 2024;10.300
Italia;1 de abril de 2024;9.700
Italia;1 de enero de 2024;9.600
Italia;1 de octubre de 2023;8.800
Italia;1 de julio de 2023;10.200
Italia;1 de abril de 2023;10.200
Países Bajos;1 de abril de 2026;..
Países Bajos;1 de enero de 2026;..
Países Bajos;1 de octubre de 2025;..
Países Bajos;1 de julio de 2025;..
Países Bajos;1 de abril de 2025;..
Países Bajos;1 de enero de 2025;..
Países Bajos;1 de octubre de 2024;..
Países Bajos;1 de julio de 2024;..
Países Bajos;1 de abril de 2024;..
Países Bajos;1 de enero de 2024;..
Países Bajos;1 de octubre de 2023;..
Países Bajos;1 de julio de 2023;..
Países Bajos;1 de abril de 2023;..
Polonia;1 de abril de 2026;..
Polonia;1 de enero de 2026;..
Polonia;1 de octubre de 2025;..
Polonia;1 de julio de 2025;..
