Municipios;Sexo;Periodo;Total
33002 Aller;Total;2025;10.011
33002 Aller;Total;2024;10.012
33002 Aller;Total;2023;10.076
33002 Aller;Total;2022;10.201
33002 Aller;Total;2021;10.346
33002 Aller;Total;2020;10.413
33002 Aller;Total;2019;10.613
33002 Aller;Total;2018;10.808
33002 Aller;Total;2017;11.027
33002 Aller;Total;2016;11.286
33002 Aller;Total;2015;11.555
33002 Aller;Total;2014;11.768
33002 Aller;Total;2013;11.906
33002 Aller;Total;2012;12.136
33002 Aller;Total;2011;12.324
33002 Aller;Total;2010;12.582
33002 Aller;Total;2009;12.766
33002 Aller;Total;2008;12.970
33002 Aller;Total;2007;13.193
33002 Aller;Total;2006;13.421
33002 Aller;Total;2005;13.702
33002 Aller;Total;2004;14.036
33002 Aller;Total;2003;14.366
33002 Aller;Total;2002;14.786
33002 Aller;Total;2001;15.100
33002 Aller;Total;2000;15.398
33002 Aller;Total;1999;15.775
33002 Aller;Total;1998;15.985
33002 Aller;Total;1997;""
33002 Aller;Total;1996;16.347
33002 Aller;Hombres;2025;4.926
33002 Aller;Hombres;2024;4.934
33002 Aller;Hombres;2023;4.946
33002 Aller;Hombres;2022;5.040
33002 Aller;Hombres;2021;5.109
33002 Aller;Hombres;2020;5.141
33002 Aller;Hombres;2019;5.248
33002 Aller;Hombres;2018;5.326
33002 Aller;Hombres;2017;5.423
33002 Aller;Hombres;2016;5.555
33002 Aller;Hombres;2015;5.693
33002 Aller;Hombres;2014;5.794
33002 Aller;Hombres;2013;5.864
33002 Aller;Hombres;2012;5.980
33002 Aller;Hombres;2011;6.056
33002 Aller;Hombres;2010;6.190
33002 Aller;Hombres;2009;6.260
33002 Aller;Hombres;2008;6.379
33002 Aller;Hombres;2007;6.470
33002 Aller;Hombres;2006;6.590
33002 Aller;Hombres;2005;6.720
33002 Aller;Hombres;2004;6.884
33002 Aller;Hombres;2003;7.047
33002 Aller;Hombres;2002;7.259
33002 Aller;Hombres;2001;7.429
33002 Aller;Hombres;2000;7.566
33002 Aller;Hombres;1999;7.765
33002 Aller;Hombres;1998;7.896
33002 Aller;Hombres;1997;""
33002 Aller;Hombres;1996;8.120
33002 Aller;Mujeres;2025;5.085
33002 Aller;Mujeres;2024;5.078
33002 Aller;Mujeres;2023;5.130
33002 Aller;Mujeres;2022;5.161
33002 Aller;Mujeres;2021;5.237
33002 Aller;Mujeres;2020;5.272
33002 Aller;Mujeres;2019;5.365
33002 Aller;Mujeres;2018;5.482
33002 Aller;Mujeres;2017;5.604
33002 Aller;Mujeres;2016;5.731
33002 Aller;Mujeres;2015;5.862
33002 Aller;Mujeres;2014;5.974
33002 Aller;Mujeres;2013;6.042
33002 Aller;Mujeres;2012;6.156
33002 Aller;Mujeres;2011;6.268
33002 Aller;Mujeres;2010;6.392
33002 Aller;Mujeres;2009;6.506
33002 Aller;Mujeres;2008;6.591
33002 Aller;Mujeres;2007;6.723
33002 Aller;Mujeres;2006;6.831
33002 Aller;Mujeres;2005;6.982
33002 Aller;Mujeres;2004;7.152
33002 Aller;Mujeres;2003;7.319
33002 Aller;Mujeres;2002;7.527
33002 Aller;Mujeres;2001;7.671
33002 Aller;Mujeres;2000;7.832
33002 Aller;Mujeres;1999;8.010
33002 Aller;Mujeres;1998;8.089
33002 Aller;Mujeres;1997;""
33002 Aller;Mujeres;1996;8.227
