Totales Territoriales;Provincias;Municipios;Grupos CNAE;Periodo;Total
Total Nacional;;;Total;2025;3.310.824
Total Nacional;;;Total;2024;3.255.276
Total Nacional;;;Total;2023;3.207.580
Total Nacional;;;Total;2022;3.430.663
Total Nacional;;;Total;2021;3.366.570
Total Nacional;;;Total;2020;3.404.428
Total Nacional;;;Total;2019;3.363.197
Total Nacional;;;Total;2018;3.337.646
Total Nacional;;;Total;2017;3.282.346
Total Nacional;;;Total;2016;3.236.582
Total Nacional;;;Total;2015;3.186.878
Total Nacional;;;Total;2014;3.119.310
Total Nacional;;;Total;2013;3.146.570
Total Nacional;;;Total;2012;3.199.617
Total Nacional;;;Industria;2025;172.765
Total Nacional;;;Industria;2024;175.806
Total Nacional;;;Industria;2023;177.865
Total Nacional;;;Industria;2022;192.211
Total Nacional;;;Industria;2021;192.555
Total Nacional;;;Industria;2020;195.615
Total Nacional;;;Industria;2019;199.076
Total Nacional;;;Industria;2018;206.711
Total Nacional;;;Industria;2017;198.805
Total Nacional;;;Industria;2016;195.619
Total Nacional;;;Industria;2015;198.004
Total Nacional;;;Industria;2014;200.835
Total Nacional;;;Industria;2013;206.585
Total Nacional;;;Industria;2012;214.992
Total Nacional;;;F Construcción;2025;389.146
Total Nacional;;;F Construcción;2024;383.622
Total Nacional;;;F Construcción;2023;376.996
Total Nacional;;;F Construcción;2022;425.251
Total Nacional;;;F Construcción;2021;417.017
Total Nacional;;;F Construcción;2020;420.118
Total Nacional;;;F Construcción;2019;422.350
Total Nacional;;;F Construcción;2018;412.523
Total Nacional;;;F Construcción;2017;402.923
Total Nacional;;;F Construcción;2016;406.682
Total Nacional;;;F Construcción;2015;405.849
Total Nacional;;;F Construcción;2014;408.089
Total Nacional;;;F Construcción;2013;425.593
Total Nacional;;;F Construcción;2012;462.402
Total Nacional;;;Comercio, transporte y hostelería;2025;1.104.434
Total Nacional;;;Comercio, transporte y hostelería;2024;1.104.814
Total Nacional;;;Comercio, transporte y hostelería;2023;1.105.590
Total Nacional;;;Comercio, transporte y hostelería;2022;1.202.570
Total Nacional;;;Comercio, transporte y hostelería;2021;1.197.892
Total Nacional;;;Comercio, transporte y hostelería;2020;1.214.123
Total Nacional;;;Comercio, transporte y hostelería;2019;1.215.680
Total Nacional;;;Comercio, transporte y hostelería;2018;1.228.650
Total Nacional;;;Comercio, transporte y hostelería;2017;1.227.579
Total Nacional;;;Comercio, transporte y hostelería;2016;1.226.987
Total Nacional;;;Comercio, transporte y hostelería;2015;1.234.543
Total Nacional;;;Comercio, transporte y hostelería;2014;1.231.985
Total Nacional;;;Comercio, transporte y hostelería;2013;1.254.014
Total Nacional;;;Comercio, transporte y hostelería;2012;1.271.813
Total Nacional;;;J Información y comunicaciones;2025;77.747
Total Nacional;;;J Información y comunicaciones;2024;71.979
Total Nacional;;;J Información y comunicaciones;2023;69.573
Total Nacional;;;J Información y comunicaciones;2022;73.919
Total Nacional;;;J Información y comunicaciones;2021;69.881
Total Nacional;;;J Información y comunicaciones;2020;69.369
Total Nacional;;;J Información y comunicaciones;2019;68.158
Total Nacional;;;J Información y comunicaciones;2018;67.248
Total Nacional;;;J Información y comunicaciones;2017;63.526
Total Nacional;;;J Información y comunicaciones;2016;61.212
Total Nacional;;;J Información y comunicaciones;2015;58.858
Total Nacional;;;J Información y comunicaciones;2014;56.100
Total Nacional;;;J Información y comunicaciones;2013;55.173
Total Nacional;;;J Información y comunicaciones;2012;54.462
Total Nacional;;;K Actividades financieras y de seguros;2025;79.365
Total Nacional;;;K Actividades financieras y de seguros;2024;76.243
Total Nacional;;;K Actividades financieras y de seguros;2023;75.673
Total Nacional;;;K Actividades financieras y de seguros;2022;81.710
Total Nacional;;;K Actividades financieras y de seguros;2021;78.227
Total Nacional;;;K Actividades financieras y de seguros;2020;78.851
Total Nacional;;;K Actividades financieras y de seguros;2019;77.396
Total Nacional;;;K Actividades financieras y de seguros;2018;78.593
Total Nacional;;;K Actividades financieras y de seguros;2017;77.340
Total Nacional;;;K Actividades financieras y de seguros;2016;75.487
Total Nacional;;;K Actividades financieras y de seguros;2015;71.672
Total Nacional;;;K Actividades financieras y de seguros;2014;69.674
Total Nacional;;;K Actividades financieras y de seguros;2013;72.355
Total Nacional;;;K Actividades financieras y de seguros;2012;70.489
Total Nacional;;;L Actividades inmobiliarias;2025;215.591
Total Nacional;;;L Actividades inmobiliarias;2024;206.219
Total Nacional;;;L Actividades inmobiliarias;2023;195.428
Total Nacional;;;L Actividades inmobiliarias;2022;198.139
Total Nacional;;;L Actividades inmobiliarias;2021;188.456
Total Nacional;;;L Actividades inmobiliarias;2020;186.023
Total Nacional;;;L Actividades inmobiliarias;2019;179.484
Total Nacional;;;L Actividades inmobiliarias;2018;176.950
