"Evolución de la superficie municipal"

"Ámbito territorial";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026"
"33000 ASTURIAS";10603.570;10603.530;10603.530;10602.410;10602.410;10602.440;10602.440;10602.440;10602.440;10602.320;10603.530;10604.090;10603.895;10603.517;10605.234;10605.233;10605.234;10605.234;10605.234
"33001 Allande";342.240;342.240;342.240;342.240;342.240;342.240;342.240;342.240;342.240;342.240;342.240;342.240;342.253;342.244;339.371;339.371;339.371;339.371;339.371
"33002 Aller";375.890;375.890;375.890;375.890;375.890;375.890;375.890;375.890;375.890;375.890;375.890;376.320;376.322;376.322;376.322;376.322;376.322;376.322;376.322
"33003 Amieva";113.900;113.900;113.900;113.900;113.900;113.900;113.900;113.900;113.900;113.900;114.980;114.980;114.979;114.979;114.979;114.979;114.979;114.979;114.979
"33004 Avilés";26.810;26.810;26.810;26.810;26.810;26.810;26.810;26.810;26.810;26.810;26.810;26.810;26.840;26.625;26.723;26.723;26.723;26.723;26.723
"33005 Belmonte de Miranda";208.010;208.010;208.010;208.010;208.010;208.010;208.010;208.010;208.010;208.010;208.010;208.010;208.015;208.015;208.015;208.015;208.015;208.015;208.015
"33006 Bimenes";32.690;32.690;32.690;32.690;32.690;32.690;32.690;32.690;32.690;33.100;33.100;32.630;32.631;32.631;32.631;32.631;32.631;32.631;32.631
"33007 Boal";120.280;120.280;120.280;120.280;120.280;120.280;120.280;120.280;120.280;120.280;120.280;120.280;120.285;120.285;120.285;120.285;120.285;120.285;120.285
"33008 Cabrales";238.290;238.290;238.290;238.290;238.290;238.290;238.290;238.290;238.290;238.130;238.530;238.530;238.534;238.828;238.828;238.828;238.828;238.828;238.828
"33009 Cabranes";38.310;38.310;38.310;38.310;38.310;38.310;38.310;38.310;38.310;38.310;38.310;38.310;38.314;38.314;38.314;38.314;38.314;38.314;38.314
"33010 Candamo";71.970;71.970;71.970;71.970;71.970;71.970;71.970;71.970;71.970;71.970;71.970;71.970;71.975;71.975;71.975;71.975;71.975;71.975;71.975
"33011 Cangas del Narcea";823.570;823.570;823.570;823.570;823.570;823.570;823.570;823.570;823.570;823.570;823.570;823.570;823.588;823.579;823.579;823.579;823.579;823.579;823.579
"33012 Cangas de Onís";212.750;212.750;212.750;212.750;212.750;212.750;212.750;212.750;212.750;212.750;213.240;213.240;213.235;213.235;213.235;213.235;213.235;213.235;213.235
"33013 Caravia";13.360;13.360;13.360;13.360;13.360;13.360;13.360;13.360;13.360;13.360;13.250;13.250;13.250;13.250;13.250;13.250;13.250;13.250;13.250
"33014 Carreño";66.700;66.700;66.700;66.750;66.750;66.750;66.750;66.750;66.750;66.750;66.750;66.750;66.709;66.709;66.588;66.588;66.588;66.588;66.588
"33015 Caso";307.940;307.940;307.940;307.940;307.940;307.940;307.940;307.940;307.940;307.940;307.940;307.770;307.768;307.768;306.619;306.619;306.619;306.619;306.619
"33016 Castrillón";55.340;55.340;55.340;55.340;55.340;55.340;55.340;55.340;55.340;55.340;55.340;55.340;55.509;55.561;55.462;55.462;55.462;55.462;55.462
"33017 Castropol";125.770;125.770;125.770;125.770;125.770;125.770;125.770;125.770;125.770;125.770;125.770;125.770;125.442;125.442;125.442;125.442;125.442;125.442;125.442
"33018 Coaña";65.800;65.800;65.800;65.800;65.800;65.800;65.800;65.800;65.800;65.800;65.800;65.800;65.855;65.855;65.855;65.855;65.855;65.855;65.855
"33019 Colunga";97.570;97.570;97.570;97.570;97.570;97.570;97.570;97.570;97.570;97.570;97.570;97.570;96.670;96.670;96.670;96.670;96.670;96.670;96.670
"33020 Corvera de Asturias";46.010;46.010;46.010;46.010;46.010;46.010;46.010;46.010;46.010;46.010;46.010;46.010;46.010;46.009;46.010;46.010;46.010;46.010;46.010
"33021 Cudillero";100.780;100.780;100.780;100.780;100.780;100.780;100.780;100.780;100.780;100.780;100.780;100.780;101.501;101.501;101.501;101.501;101.501;101.501;101.501
"33022 Degaña";87.160;87.160;87.160;87.160;87.160;87.160;87.160;87.160;87.160;87.160;87.160;87.160;87.167;87.167;87.167;87.167;87.167;87.167;87.167
"33023 Franco, El";78.040;78.030;78.030;78.030;78.030;78.030;78.030;78.030;78.030;78.030;78.030;78.030;78.212;78.212;78.212;78.212;78.212;78.212;78.212
"33024 Gijón";181.600;181.600;181.600;181.710;181.710;181.710;181.710;181.710;181.710;181.710;181.710;181.710;182.116;182.116;183.953;183.953;183.953;183.953;183.953
"33025 Gozón";81.730;81.730;81.730;81.730;81.730;81.730;81.730;81.730;81.730;81.730;81.730;81.730;82.306;82.306;82.306;82.306;82.306;82.306;82.306
"33026 Grado";221.640;216.680;216.680;216.680;216.680;216.710;216.710;216.710;216.710;216.710;216.710;216.710;216.711;216.711;216.711;216.711;216.711;216.711;216.691
"33027 Grandas de Salime";112.550;112.550;112.550;112.550;111.620;111.620;111.620;111.620;111.620;111.630;111.630;111.630;111.634;111.630;114.504;114.504;114.504;114.504;114.504
"33028 Ibias";333.300;333.300;333.300;333.300;333.300;333.300;333.300;333.300;333.300;333.290;333.290;333.290;333.308;333.408;333.408;333.408;333.408;333.408;333.408
"33029 Illano";102.700;102.700;102.700;102.700;102.700;102.700;102.700;102.700;102.700;102.700;102.460;102.460;102.461;102.461;102.461;102.461;102.461;102.461;102.461
"33030 Illas";25.510;25.510;25.510;25.510;25.510;25.510;25.510;25.510;25.510;25.510;25.510;25.510;25.509;25.509;25.509;25.509;25.509;25.509;25.508
"33031 Langreo";82.460;82.460;82.460;82.460;82.460;82.460;82.460;82.460;82.460;82.450;83.540;83.540;83.538;83.538;83.538;83.538;83.538;83.538;83.582
"33032 Laviana";130.990;130.990;130.990;130.990;130.990;130.990;130.990;130.990;130.990;130.590;130.590;131.060;131.056;131.056;131.056;131.056;131.056;131.056;131.056
"33033 Lena";315.510;315.510;315.510;315.510;315.510;315.510;315.510;315.510;315.510;316.000;316.000;315.930;315.928;315.866;315.866;318.196;318.196;318.196;318.196
"33034 Valdés";353.520;353.520;353.520;353.520;353.520;353.520;353.520;353.520;353.520;353.520;353.520;353.520;353.905;353.905;353.905;353.905;353.905;353.905;353.905
"33035 Llanera";106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.693;106.693;106.693;106.693;106.693;106.693;105.018
"33036 Llanes";263.590;263.590;263.590;263.590;263.590;263.590;263.590;263.590;263.590;263.590;262.930;262.930;262.934;262.934;262.934;262.934;262.934;262.934;262.934
"33037 Mieres";146.030;146.030;146.030;146.030;146.030;146.030;146.030;146.030;146.030;146.040;146.040;146.040;146.037;146.037;146.037;146.037;146.037;146.037;146.055
"33038 Morcín";50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.056;50.056;50.056;50.056;50.056;50.056;50.056
