"Empleo según condición laboral y sector de actividad (R4). Concejos"

"Periodo";"Sector de actividad";"TOTAL 33002 Aller";"Asalariados 33002 Aller";"Autónomos 33002 Aller"
"1990";"TOTAL";5888;3273;2615
"1990";"Agricultura y pesca";1686;75;1611
"1990";"Industria";2342;2311;31
"1990";"Construcción";307;163;144
"1990";"Servicios";1553;724;829
"1991";"TOTAL";4830;3225;1605
"1991";"Agricultura y pesca";714;42;672
"1991";"Industria";2342;2305;37
"1991";"Construcción";302;172;130
"1991";"Servicios";1472;706;766
"1992";"TOTAL";4670;2961;1709
"1992";"Agricultura y pesca";833;45;788
"1992";"Industria";2075;2045;30
"1992";"Construcción";308;185;123
"1992";"Servicios";1454;686;768
"1993";"TOTAL";5550;3200;2350
"1993";"Agricultura y pesca";1304;33;1271
"1993";"Industria";2280;2253;27
"1993";"Construcción";267;139;128
"1993";"Servicios";1699;775;924
"1994";"TOTAL";4995;2997;1998
"1994";"Agricultura y pesca";1201;22;1179
"1994";"Industria";2148;2117;31
"1994";"Construcción";231;138;93
"1994";"Servicios";1415;720;695
"1995";"TOTAL";4716;2929;1787
"1995";"Agricultura y pesca";1026;32;994
"1995";"Industria";2083;2051;32
"1995";"Construcción";286;194;92
"1995";"Servicios";1321;652;669
"1996";"TOTAL";4483;2774;1709
"1996";"Agricultura y pesca";1011;32;979
"1996";"Industria";1900;1855;45
"1996";"Construcción";205;117;88
"1996";"Servicios";1367;770;597
"1997";"TOTAL";3530;2773;757
"1997";"Agricultura y pesca";196;9;187
"1997";"Industria";1935;1895;40
"1997";"Construcción";188;118;70
"1997";"Servicios";1211;751;460
"1998";"TOTAL";3177;2394;783
"1998";"Agricultura y pesca";199;13;186
"1998";"Industria";1505;1471;34
"1998";"Construcción";244;134;110
"1998";"Servicios";1229;776;453
"1999";"TOTAL";3267;2442;825
"1999";"Agricultura y pesca";194;15;179
"1999";"Industria";1410;1379;31
"1999";"Construcción";308;167;141
"1999";"Servicios";1355;881;474
"2000";"TOTAL";3384;2446;938
"2000";"Agricultura y pesca";357;26;331
"2000";"Industria";1385;1353;32
"2000";"Construcción";300;183;117
"2000";"Servicios";1342;884;458
"2001";"TOTAL";3515;2469;1046
"2001";"Agricultura y pesca";502;26;476
"2001";"Industria";1332;1304;28
"2001";"Construcción";300;203;97
"2001";"Servicios";1381;936;445
"2002";"TOTAL";3311;2265;1046
"2002";"Agricultura y pesca";488;29;459
"2002";"Industria";1156;1129;27
"2002";"Construcción";278;191;87
"2002";"Servicios";1389;916;473
"2003";"TOTAL";3214;2243;971
"2003";"Agricultura y pesca";402;30;372
"2003";"Industria";1074;1048;26
"2003";"Construcción";286;193;93
"2003";"Servicios";1452;972;480
"2004";"TOTAL";3217;2247;970
"2004";"Agricultura y pesca";387;31;356
"2004";"Industria";1060;1031;29
"2004";"Construcción";343;229;114
"2004";"Servicios";1427;956;471
"2005";"TOTAL";3203;2197;1006
"2005";"Agricultura y pesca";385;31;354
"2005";"Industria";930;894;36
"2005";"Construcción";435;314;121
"2005";"Servicios";1453;958;495
"2006";"TOTAL";3186;2233;953
"2006";"Agricultura y pesca";328;33;295
"2006";"Industria";896;861;35
"2006";"Construcción";441;312;129
"2006";"Servicios";1521;1027;494
"2007";"TOTAL";3159;2214;945
"2007";"Agricultura y pesca";331;38;293
"2007";"Industria";852;822;30
"2007";"Construcción";424;303;121
"2007";"Servicios";1552;1051;501
"2008";"TOTAL";3165;2243;922
"2008";"Agricultura y pesca";323;40;283
"2008";"Industria";856;827;29
"2008";"Construcción";403;272;131
"2008";"Servicios";1583;1104;479
"2009";"TOTAL";3107;2203;904
"2009";"Agricultura y pesca";314;33;281
"2009";"Industria";906;879;27
"2009";"Construcción";379;253;126
"2009";"Servicios";1508;1038;470
"2010";"TOTAL";2786;1906;880
"2010";"Agricultura y pesca";299;25;274
"2010";"Industria";698;673;25
"2010";"Construcción";280;154;126
"2010";"Servicios";1509;1054;455
"2011";"TOTAL";2670;1797;873
"2011";"Agricultura y pesca";308;29;279
"2011";"Industria";636;607;29
"2011";"Construcción";237;117;120
"2011";"Servicios";1489;1044;445
"2012";"TOTAL";2543;1705;838
"2012";"Agricultura y pesca";291;32;259
"2012";"Industria";637;607;30
"2012";"Construcción";192;75;117
"2012";"Servicios";1423;991;432
"2013";"TOTAL";2389;1642;747
"2013";"Agricultura y pesca";211;47;164
"2013";"Industria";593;565;28
"2013";"Construcción";161;50;111
"2013";"Servicios";1424;980;444
"2014";"TOTAL";2428;1683;745
"2014";"Agricultura y pesca";215;59;156
"2014";"Industria";603;578;25
"2014";"Construcción";140;33;107
"2014";"Servicios";1470;1013;457
"2015";"TOTAL";2334;1611;723
"2015";"Agricultura y pesca";220;66;154
"2015";"Industria";569;537;32
"2015";"Construcción";134;32;102
"2015";"Servicios";1411;976;435
"2016";"TOTAL";2266;1557;709
"2016";"Agricultura y pesca";185;30;155
"2016";"Industria";520;485;35
"2016";"Construcción";124;33;91
"2016";"Servicios";1437;1009;428
"2017";"TOTAL";2410;1713;697
"2017";"Agricultura y pesca";193;29;164
"2017";"Industria";539;504;35
"2017";"Construcción";115;31;84
"2017";"Servicios";1563;1149;414
"2018";"TOTAL";2375;1700;675
"2018";"Agricultura y pesca";187;28;159
"2018";"Industria";516;481;35
"2018";"Construcción";118;38;80
"2018";"Servicios";1554;1153;401
"2019";"TOTAL";2257;1604;653
"2019";"Agricultura y pesca";183;25;158
"2019";"Industria";469;434;35
"2019";"Construcción";116;44;72
"2019";"Servicios";1489;1101;388
"2020";"TOTAL";2070;1430;640
"2020";"Agricultura y pesca";185;31;154
"2020";"Industria";307;274;33
"2020";"Construcción";107;41;66
"2020";"Servicios";1471;1084;387
"2021";"TOTAL";2040;1394;646
"2021";"Agricultura y pesca";176;21;155
"2021";"Industria";394;360;34
"2021";"Construcción";108;44;64
"2021";"Servicios";1362;969;393
"2022";"TOTAL";1925;1293;632
"2022";"Agricultura y pesca";169;20;149
"2022";"Industria";283;251;32
"2022";"Construcción";118;52;66
"2022";"Servicios";1355;970;385
"2023";"TOTAL";1957;1331;626
"2023";"Agricultura y pesca";165;21;144
"2023";"Industria";244;216;28
"2023";"Construcción";151;80;71
"2023";"Servicios";1397;1014;383
"2024";"TOTAL";1947;1331;616
"2024";"Agricultura y pesca";166;24;142
"2024";"Industria";229;203;26
"2024";"Construcción";182;109;72
"2024";"Servicios";1370;995;375
