"Paro registrado según sexo. Concejos"

"Periodo";"Ambos sexos 33002 Aller";"Hombres 33002 Aller";"Mujeres 33002 Aller"
"1996-01";1241;453;788
"1996-02";1248;464;784
"1996-03";1218;441;777
"1996-04";1193;428;765
"1996-05";1163;411;752
"1996-06";1138;400;738
"1996-07";1028;350;678
"1996-08";1075;374;701
"1996-09";1125;379;746
"1996-10";1106;370;736
"1996-11";1117;382;735
"1996-12";1103;386;717
"1996";1146;403;743
"1997-01";1120;404;716
"1997-02";1123;405;718
"1997-03";1097;380;717
"1997-04";1112;390;722
"1997-05";1075;376;699
"1997-06";1050;376;674
"1997-07";993;355;638
"1997-08";980;347;633
"1997-09";1010;349;661
"1997-10";1040;365;675
"1997-11";1028;368;660
"1997-12";1076;416;660
"1997";1059;378;681
"1998-01";1107;434;673
"1998-02";1093;419;674
"1998-03";1063;417;646
"1998-04";1041;409;632
"1998-05";1009;392;617
"1998-06";934;351;583
"1998-07";885;329;556
"1998-08";918;342;576
"1998-09";940;327;613
"1998-10";947;339;608
"1998-11";876;337;539
"1998-12";848;356;492
"1998";972;371;601
"1999-01";851;350;501
"1999-02";859;340;519
"1999-03";832;327;505
"1999-04";796;308;488
"1999-05";781;291;490
"1999-06";753;273;480
"1999-07";710;252;458
"1999-08";700;243;457
"1999-09";708;238;470
"1999-10";719;232;487
"1999-11";717;235;482
"1999-12";726;252;474
"1999";763;278;484
"2000-01";732;252;480
"2000-02";749;262;487
"2000-03";729;245;484
"2000-04";727;246;481
"2000-05";715;240;475
"2000-06";703;234;469
"2000-07";696;227;469
"2000-08";712;236;476
"2000-09";735;226;509
"2000-10";768;248;520
"2000-11";775;262;513
"2000-12";784;271;513
"2000";735;246;490
"2001-01";775;253;522
"2001-02";769;242;527
"2001-03";720;219;501
"2001-04";736;227;509
"2001-05";710;219;491
"2001-06";700;218;482
"2001-07";661;203;458
"2001-08";654;206;448
"2001-09";674;209;465
"2001-10";704;224;480
"2001-11";700;228;472
"2001-12";717;231;486
"2001";710;223;487
"2002-01";719;219;500
"2002-02";733;231;502
"2002-03";743;234;509
"2002-04";791;263;528
"2002-05";790;261;529
"2002-06";750;245;505
"2002-07";710;218;492
"2002-08";701;217;484
"2002-09";783;237;546
"2002-10";776;242;534
"2002-11";793;262;531
"2002-12";838;299;539
"2002";761;244;517
"2003-01";826;279;547
"2003-02";824;280;544
"2003-03";783;257;526
"2003-04";789;259;530
"2003-05";781;261;520
"2003-06";767;264;503
"2003-07";693;232;461
"2003-08";691;223;468
"2003-09";740;229;511
"2003-10";773;239;534
"2003-11";762;239;523
"2003-12";746;255;491
"2003";765;251;513
"2004-01";738;254;484
"2004-02";751;254;497
"2004-03";766;264;502
"2004-04";765;261;504
"2004-05";743;253;490
"2004-06";725;248;477
"2004-07";698;229;469
"2004-08";700;231;469
"2004-09";716;239;477
"2004-10";744;254;490
"2004-11";754;270;484
"2004-12";786;291;495
"2004";741;254;487
"2005-01";782;287;495
"2005-02";776;285;491
"2005-03";755;277;478
"2005-04";749;265;484
"2005-05";782;261;521
"2005-06";728;248;480
"2005-07";685;220;465
"2005-08";679;226;453
"2005-09";729;233;496
"2005-10";756;251;505
"2005-11";747;239;508
"2005-12";728;254;474
"2005";741;254;488
"2006-01";744;258;486
"2006-02";754;267;487
"2006-03";760;275;485
"2006-04";737;273;464
"2006-05";670;233;437
"2006-06";658;228;430
"2006-07";634;225;409
"2006-08";645;222;423
"2006-09";667;244;423
"2006-10";657;232;425
"2006-11";682;250;432
"2006-12";691;265;426
"2006";692;248;444
"2007-01";734;263;471
"2007-02";718;253;465
"2007-03";684;239;445
"2007-04";656;230;426
"2007-05";658;239;419
"2007-06";660;253;407
"2007-07";643;250;393
"2007-08";646;245;401
"2007-09";660;241;419
"2007-10";682;240;442
"2007-11";743;297;446
"2007-12";778;338;440
"2007";689;257;431
"2008-01";866;381;485
"2008-02";827;345;482
"2008-03";780;325;455
"2008-04";790;332;458
"2008-05";752;304;448
"2008-06";740;303;437
"2008-07";710;288;422
"2008-08";698;293;405
"2008-09";712;295;417
"2008-10";727;306;421
"2008-11";781;352;429
"2008-12";792;368;424
"2008";765;324;440
"2009-01";873;403;470
"2009-02";893;402;491
"2009-03";917;427;490
"2009-04";947;449;498
"2009-05";919;433;486
"2009-06";936;440;496
"2009-07";881;435;446
"2009-08";927;463;464
"2009-09";930;446;484
"2009-10";862;398;464
"2009-11";871;404;467
"2009-12";906;434;472
"2009";905;428;477
"2010-01";929;443;486
"2010-02";965;466;499
"2010-03";975;479;496
"2010-04";994;498;496
"2010-05";988;504;484
"2010-06";938;466;472
"2010-07";894;453;441
"2010-08";917;458;459
"2010-09";962;494;468
"2010-10";962;482;480
"2010-11";975;492;483
"2010-12";984;518;466
"2010";957;479;478
"2011-01";1042;542;500
"2011-02";1044;546;498
"2011-03";1043;527;516
"2011-04";1067;536;531
"2011-05";1033;509;524
"2011-06";1039;508;531
"2011-07";1034;491;543
"2011-08";1025;476;549
"2011-09";1038;474;564
"2011-10";1065;511;554
"2011-11";1095;532;563
"2011-12";1115;553;562
"2011";1053;517;536
"2012-01";1162;578;584
"2012-02";1167;578;589
"2012-03";1186;586;600
"2012-04";1192;595;597
"2012-05";1133;570;563
"2012-06";1138;584;554
"2012-07";1142;606;536
"2012-08";1147;606;541
"2012-09";1180;606;574
"2012-10";1195;616;579
"2012-11";1193;630;563
"2012-12";1195;646;549
"2012";1169;600;569
"2013-01";1245;667;578
"2013-02";1240;656;584
"2013-03";1264;679;585
"2013-04";1266;669;597
"2013-05";1258;659;599
"2013-06";1230;635;595
"2013-07";1206;623;583
"2013-08";1168;607;561
"2013-09";1188;611;577
"2013-10";1216;625;591
"2013-11";1182;612;570
"2013-12";1170;619;551
"2013";1219;639;581
"2014-01";1191;612;579
"2014-02";1179;597;582
"2014-03";1166;592;574
"2014-04";1135;579;556
"2014-05";1101;554;547
"2014-06";1115;557;558
"2014-07";1081;541;540
"2014-08";1096;562;534
"2014-09";1119;560;559
"2014-10";1137;576;561
"2014-11";1094;551;543
"2014-12";1059;537;522
"2014";1123;568;555
"2015-01";1083;537;546
"2015-02";1074;533;541
"2015-03";1051;536;515
"2015-04";1032;524;508
"2015-05";1024;507;517
"2015-06";1001;491;510
"2015-07";963;474;489
"2015-08";968;471;497
"2015-09";1016;503;513
"2015-10";1014;500;514
"2015-11";1011;494;517
"2015-12";985;492;493
"2015";1019;505;513
"2016-01";1012;502;510
"2016-02";970;483;487
"2016-03";954;472;482
"2016-04";942;466;476
"2016-05";913;453;460
"2016-06";897;441;456
"2016-07";849;414;435
"2016-08";852;422;430
"2016-09";875;430;445
"2016-10";889;433;456
"2016-11";855;431;424
"2016-12";848;427;421
"2016";905;448;457
"2017-01";866;441;425
"2017-02";867;433;434
"2017-03";834;424;410
"2017-04";826;419;407
"2017-05";819;406;413
"2017-06";777;379;398
"2017-07";741;357;384
"2017-08";723;363;360
"2017-09";757;370;387
"2017-10";748;373;375
"2017-11";742;363;379
"2017-12";726;360;366
"2017";786;391;395
"2018-01";750;360;390
"2018-02";757;359;398
"2018-03";757;355;402
"2018-04";744;341;403
"2018-05";731;342;389
"2018-06";699;323;376
"2018-07";664;300;364
"2018-08";672;318;354
"2018-09";678;323;355
"2018-10";688;331;357
"2018-11";680;331;349
