"Paro registrado según sector económico"

"Periodo";"TOTAL";"Primario";"Industria";"Construcción";"Servicios";"Sin empleo anterior"
"1990-01";73260;908;11864;6349;25833;28306
"1990-02";73554;944;11852;6239;26036;28483
"1990-03";72768;908;11790;6103;26026;27941
"1990-04";72502;948;11646;6120;26003;27785
"1990-05";72104;959;11596;5907;26006;27636
"1990-06";71152;927;11289;5787;25421;27728
"1990-07";68984;857;11081;5592;24746;26708
"1990-08";68489;801;11169;5522;24751;26246
"1990-09";68773;770;11061;5430;25336;26176
"1990-10";71809;810;11416;5438;26859;27286
"1990-11";71488;834;11223;5361;27039;27031
"1990-12";72025;905;11673;5746;27354;26347
"1990";71409;881;11472;5800;25951;27306
"1991-01";71810;869;11379;5430;27608;26524
"1991-02";71431;836;11313;5442;27763;26077
"1991-03";69547;766;11284;5320;26916;25261
"1991-04";68846;754;11028;5050;26608;25406
"1991-05";68510;766;10964;5048;26667;25065
"1991-06";68091;749;10932;4955;26471;24984
"1991-07";66379;713;10788;4886;25848;24144
"1991-08";65210;700;10575;4643;25526;23766
"1991-09";67028;727;10722;4581;26455;24543
"1991-10";70137;764;11438;5125;28868;23942
"1991-11";71567;772;11850;5457;29752;23736
"1991-12";71925;752;12188;5908;29811;23266
"1991";69207;764;11205;5154;27358;24726
"1992-01";72623;698;12243;5927;30464;23291
"1992-02";73219;681;11953;6020;30962;23603
"1992-03";73711;679;11904;6109;31236;23783
"1992-04";73921;695;12072;6222;31085;23847
"1992-05";72181;667;11666;5895;30639;23314
"1992-06";71150;669;11611;5868;29829;23173
"1992-07";68760;649;11294;5810;28546;22461
"1992-08";68078;644;11343;5719;28352;22020
"1992-09";68339;612;11332;5736;28667;21992
"1992-10";70149;616;11637;5985;29929;21982
"1992-11";71360;656;12024;6267;30583;21830
"1992-12";72474;694;12845;6806;30748;21381
"1992";71330;663;11827;6030;30087;22723
"1993-01";72969;671;12877;6959;31524;20938
"1993-02";74328;664;13238;7238;32229;20959
"1993-03";76078;695;13544;7543;33073;21223
"1993-04";74609;701;13416;7739;32216;20537
"1993-05";73762;711;13338;7654;31708;20351
"1993-06";74208;735;13537;7876;31578;20482
"1993-07";72801;725;13267;7935;30561;20313
"1993-08";72089;705;13102;7911;30391;19980
"1993-09";71904;704;12603;7975;30437;20185
"1993-10";75648;748;13388;8286;32668;20558
"1993-11";76885;747;13569;8399;33565;20605
"1993-12";78044;849;14098;9170;33707;20220
"1993";74444;721;13331;7890;31971;20529
"1994-01";80075;805;14371;9592;35087;20220
"1994-02";79554;833;14133;9502;35050;20036
"1994-03";79295;826;14011;9438;34982;20038
"1994-04";79019;797;13743;9545;35121;19813
"1994-05";77893;763;13646;9293;34609;19582
"1994-06";77225;790;13531;9104;33964;19836
"1994-07";73406;783;12725;8595;32059;19244
"1994-08";72412;754;12601;8538;31620;18899
"1994-09";75231;703;13266;8480;33227;19555
"1994-10";77926;702;14048;8567;34653;19956
"1994-11";77894;703;14068;8405;34631;20087
"1994-12";77643;778;14291;8799;34151;19624
"1994";77298;770;13703;8988;34096;19741
"1995-01";77604;767;14270;8892;34681;18994
"1995-02";77471;773;14098;8761;34822;19017
"1995-03";77084;770;13894;8492;34715;19213
"1995-04";76445;761;13782;8479;34411;19012
"1995-05";75666;784;13421;8531;34001;18929
"1995-06";74730;881;13222;8536;33245;18846
"1995-07";71947;798;12699;8293;31940;18217
"1995-08";70895;750;12502;8269;31600;17774
"1995-09";72917;751;12528;8062;33192;18384
"1995-10";72065;765;10805;7945;33924;18626
"1995-11";73854;770;11144;8091;34718;19131
"1995-12";73167;849;11176;8341;34124;18677
"1995";74487;785;12795;8391;33781;18735
"1996-01*";85730;1038;12840;9163;41726;20963
"1996-02";86808;1025;12711;9558;42265;21250
"1996-03";86302;1025;12445;9527;41859;21446
"1996-04";84818;995;12157;9273;41251;21142
"1996-05";82408;995;11909;8942;39948;20614
"1996-06";81243;999;11467;8793;39334;20650
"1996-07";77890;972;10893;8529;37693;19803
"1996-08";77385;976;10805;8554;37300;19751
"1996-09";80880;953;10731;8746;39637;20813
"1996-10";82754;926;10858;9022;40916;21032
"1996-11";83839;951;10959;9217;41364;21349
"1996-12";83619;993;10951;10050;40702;20923
"1996";82806;987;11560;9114;40333;20811
"1997-01";84935;1016;10822;9575;42526;20996
"1997-02";85518;1025;10902;9481;42844;21266
"1997-03";83307;1037;10537;8925;41827;20981
"1997-04";81743;1010;10087;8416;41526;20704
"1997-05";80099;1043;9994;8272;41040;19750
"1997-06";78789;1069;9750;8124;40002;19845
"1997-07";75660;1063;9369;7709;38140;19379
"1997-08";74134;1036;9282;7578;37555;18682
"1997-09";76437;997;9135;7373;39832;19099
"1997-10";77681;1011;9106;7155;40946;19462
"1997-11";78574;1013;9109;7262;41403;19787
"1997-12";79111;1031;9138;8507;40998;19437
"1997";79666;1029;9769;8198;40720;19949
"1998-01";79897;1073;9126;7830;42290;19578
"1998-02";78832;1033;8930;7605;41803;19461
"1998-03";77730;997;8664;7437;41353;19280
"1998-04";75705;991;8431;7151;40361;18770
"1998-05";72671;976;8192;6746;39103;17654
"1998-06";70089;974;7802;6249;37666;17398
"1998-07";66862;909;7500;5903;35672;16878
"1998-08";65844;894;7650;5820;35027;16453
"1998-09";68090;880;7410;5883;37298;16620
"1998-10";69898;883;7413;5918;38791;16894
"1998-11";69788;868;7317;5859;38871;16873
"1998-12";70134;909;7622;6597;38387;16619
"1998";72128;949;8005;6583;38885;17707
"1999-01";70000;881;7580;6198;39235;16106
"1999-02";70001;882;7386;6078;39362;16292
"1999-03";68537;842;7233;6081;38677;15704
"1999-04";65465;809;6878;5626;37183;14969
"1999-05";63515;821;6589;5363;36093;14650
"1999-06";62741;818;6440;5302;35321;14860
"1999-07";60422;793;6289;5233;33756;14352
"1999-08";59505;724;6367;5194;33362;13858
"1999-09";61147;761;6303;5220;34789;14075
"1999-10";62225;753;6310;5261;35555;14347
"1999-11";63470;766;6444;5423;36422;14415
"1999-12";63978;794;6754;6045;36127;14259
"1999";64251;804;6714;5585;36323;14824
"2000-01";66603;782;6740;6130;38522;14429
"2000-02";66545;754;6719;5986;38569;14516
"2000-03";65724;747;6502;5771;38167;14536
"2000-04";65104;761;6468;5953;37472;14449
"2000-05";63923;712;6324;5586;36948;14353
"2000-06";60953;680;6021;5250;35190;13812
"2000-07";57517;653;5707;4851;33466;12839
"2000-08";56620;609;5754;4746;33001;12510
"2000-09";59051;632;5735;4842;34737;13105
"2000-10";60465;650;5999;4767;35893;13156
"2000-11";60668;662;6018;4860;36106;13022
"2000-12";61931;652;6311;5419;36422;13127
"2000";62092;691;6192;5347;36208;13655
"2001-01";64064;655;6238;5440;38512;13219
"2001-02";63178;..;..;..;..;..
"2001-03";62569;..;..;..;..;..
"2001-04";60097;..;..;..;..;..
"2001-05";58756;..;..;..;..;..
"2001-06";55090;582;5330;4600;32717;11860
"2001-07";52589;581;4984;4469;31356;11200
"2001-08";52575;531;5081;4550;31302;11111
"2001-09";54983;573;5124;4515;33073;11697
"2001-10";56528;557;5320;4680;34300;11672
"2001-11";57274;567;5455;4782;34869;11601
"2001-12";58427;588;5761;5497;34853;11728
"2001";58011;..;..;..;..;..
"2002-01";62344;617;5870;5693;38043;12122
"2002-02";65491;664;6098;5523;41009;12198
"2002-03";62112;608;5889;5691;37800;12124
"2002-04";61263;621;5641;5483;37443;12074
"2002-05";58605;614;5458;5322;35615;11596
"2002-06";55983;594;5149;4838;33717;11685
"2002-07";54279;560;5099;4684;32669;11267
"2002-08";54128;563;5195;4776;32674;10920
"2002-09";56128;563;5232;4844;34272;11217
"2002-10";58032;577;5549;5075;35561;11270
"2002-11";59460;598;5650;5399;36325;11488
"2002-12";61013;576;6025;6650;36391;11371
"2002";59070;596;5571;5331;35960;11611
"2003-01";65456;598;6070;6621;40444;11723
"2003-02";65269;607;5959;6444;40375;11883
"2003-03";63628;603;5722;6159;39407;11737
"2003-04";62379;577;5682;6316;38348;11456
"2003-05";59509;568;5528;6266;36151;10996
"2003-06";57523;567;5350;6276;34433;10898
"2003-07";55233;525;5079;6024;33086;10519
"2003-08";54421;515;5079;5892;32698;10237
"2003-09";57519;524;5147;6002;35145;10702
"2003-10";60100;555;5414;6253;37120;10757
"2003-11";61094;552;5407;6519;37786;10828
"2003-12";63053;589;5797;7681;38303;10683
"2003";60432;565;5520;6371;36941;11035
"2004-01";66870;611;6070;7565;41722;10902
"2004-02";66469;582;5961;7352;41851;10724
"2004-03";65603;618;6100;7370;40858;10657
"2004-04";65267;611;5813;7240;40902;10701
"2004-05";61486;575;5507;6936;38357;10111
"2004-06";58461;558;5352;6442;36140;9969
"2004-07";55938;524;5202;6235;34471;9506
"2004-08";56429;536;5355;6283;34934;9321
"2004-09";58207;549;5303;6288;36570;9498
"2004-10";60991;595;5711;6445;38643;9596
"2004-11";61433;652;5728;6508;38995;9550
"2004-12";62135;674;5875;7166;38782;9638
"2004";61607;590;5665;6819;38519;10014
"2005-01";64897;680;5954;7250;41524;9489
"2005-02";64726;686;5689;7072;41728;9551
"2005-03";63663;671;5563;7024;41053;9352
"2005-04";62424;678;5413;6657;40461;9215
"2005-05";57681;622;5169;6307;37065;8518
"2005-06";54014;617;4893;5759;34266;8479
"2005-07";51247;582;4722;5409;32740;7794
"2005-08";51392;589;4909;5385;32894;7615
"2005-09";52946;552;4950;5449;34185;7810
"2005-10";55334;605;5404;5677;36100;7548
"2005-11";56370;626;5441;5533;37147;7623
"2005-12";56753;662;5686;6033;36758;7614
"2005";57621;631;5316;6130;37160;8384
"2006-01";59953;692;5908;5891;39738;7724
"2006-02";60028;681;5815;6007;39755;7770
"2006-03";59124;688;5731;5741;39272;7692
"2006-04";55788;663;5534;5271;37148;7172
"2006-05";52194;616;5191;4820;34727;6840
"2006-06";49882;611;5147;4753;32777;6594
"2006-07";48449;585;5114;4590;31951;6209
"2006-08";49137;563;5436;4617;32343;6178
"2006-09";49985;541;5401;4570;33213;6260
"2006-10";51443;574;5717;4610;34265;6277
"2006-11";52382;591;5812;4749;34926;6304
"2006-12";52913;595;6045;5320;34667;6286
"2006";53440;617;5571;5078;35399;6776
"2007-01";56644;586;6241;5262;38044;6511
"2007-02";55613;579;6036;4948;37533;6517
"2007-03";53738;564;6064;4726;36068;6316
"2007-04";51848;563;5981;4509;34499;6296
"2007-05";48288;563;5668;4250;32094;5713
"2007-06";46364;539;5572;4128;30402;5723
"2007-07";44911;499;5371;4142;29528;5371
"2007-08";45643;507;5445;4234;30285;5172
"2007-09";46972;540;5437;4265;31511;5219
"2007-10";49133;609;5720;4372;33182;5250
"2007-11";50146;630;5727;4573;33806;5410
"2007-12";51229;659;5945;5220;34017;5388
"2007";50044;570;5767;4552;33414;5741
"2008-01";54623;683;6037;5393;37272;5238
"2008-02";54371;681;5867;5388;37212;5223
"2008-03";52474;661;5632;5503;35609;5069
"2008-04";52037;631;5631;5706;35094;4975
"2008-05";50778;636;5574;5739;33919;4910
"2008-06";48959;622;5526;5894;32327;4590
"2008-07";47461;591;5207;5838;31492;4333
"2008-08";47682;568;5232;6160;31615;4107
"2008-09";49954;578;5379;6486;33328;4183
"2008-10";53917;669;5803;7195;35731;4519
"2008-11";58251;715;6270;8264;38277;4725
"2008-12";63614;778;7168;10348;40444;4876
"2008";52843;651;5777;6493;35193;4729
"2009-01";70366;725;8443;11187;45390;4621
"2009-02";73558;714;8919;11787;47127;5011
"2009-03";74381;736;9123;11662;47476;5384
"2009-04";73770;711;9050;11552;46905;5552
"2009-05";72819;689;9103;11415;46028;5584
"2009-06";70592;666;8985;11256;44239;5446
"2009-07";67261;648;8342;10807;42105;5359
"2009-08";68433;663;8309;10861;43337;5263
"2009-09";70389;699;8301;10988;44891;5510
"2009-10";70787;729;8154;11025;45341;5538
"2009-11";73097;746;8362;11406;46919;5664
"2009-12";75837;808;8898;12537;47905;5689
"2009";71774;711;8666;11374;45639;5385
"2010-01";80925;865;9146;12962;52026;5926
"2010-02";83736;897;9334;13350;53885;6270
"2010-03";83606;917;9307;13467;53463;6452
"2010-04";82722;906;9162;13097;53069;6488
"2010-05";79397;884;8800;12558;50875;6280
"2010-06";75044;875;8269;11954;47931;6015
"2010-07";71675;839;7875;11419;45602;5940
"2010-08";72956;825;7931;11672;46573;5955
"2010-09";76002;849;8013;11702;49166;6272
"2010-10";78140;884;8412;11638;50788;6418
"2010-11";79647;915;8489;11877;51776;6590
"2010-12";81199;972;8778;12779;52106;6564
"2010";78754;886;8626;12373;50605;6264
"2011-01";86008;973;9263;13212;55822;6738
"2011-02";88072;1000;9471;13336;57190;7075
"2011-03";87740;1033;9239;13309;56896;7263
"2011-04";85710;1059;9160;13219;55050;7222
"2011-05";83181;1059;8723;12865;53353;7181
"2011-06";80743;1042;8608;12826;51319;6948
"2011-07";78717;1022;8341;12656;49634;7064
"2011-08";79373;1004;8479;12651;50289;6950
"2011-09";82122;980;8528;12609;52899;7106
"2011-10";85576;1100;9329;12888;55221;7038
"2011-11";88853;1191;9456;13516;57529;7161
"2011-12";90537;1266;9819;14412;57920;7120
"2011";84719;1061;9035;13125;54427;7072
"2012-01";96607;1299;10219;15135;62742;7212
"2012-02";99353;1269;10581;15710;64312;7481
"2012-03";99388;1308;10697;15585;64255;7543
"2012-04";99236;1323;10680;15568;64071;7594
"2012-05";97459;1301;10206;15227;63244;7481
"2012-06";94850;1296;10170;15136;61132;7116
"2012-07";93142;1243;9744;14974;59970;7211
"2012-08";93943;1218;9912;15147;60396;7270
"2012-09";99135;1258;10253;15481;64464;7679
"2012-10";103384;1326;10984;15882;67427;7765
"2012-11";105216;1376;11174;16019;68786;7861
"2012-12";103787;1434;11226;16298;67146;7683
"2012";98792;1304;10487;15514;63995;7491
"2013-01";107608;1497;11413;16598;70443;7657
"2013-02";107677;1515;11339;16632;70411;7780
"2013-03";107350;1580;11371;16547;69980;7872
"2013-04";107211;1573;11429;16269;69904;8036
"2013-05";106029;1578;11430;15974;69122;7925
"2013-06";102778;1540;11056;15637;66838;7707
"2013-07";100491;1459;10669;15297;65142;7924
"2013-08";99559;1451;10528;15073;64563;7944
"2013-09";101922;1479;10573;14787;66902;8181
"2013-10";103290;1602;10688;14417;68533;8050
"2013-11";103118;1600;10748;14264;68514;7992
"2013-12";100876;1616;10710;14409;66362;7779
"2013";103992;1541;10996;15492;68060;7904
"2014-01";104732;1697;11126;14750;69209;7950
"2014-02";103799;1709;11026;14522;68494;8048
"2014-03";103443;1716;10856;14320;68200;8351
"2014-04";101005;1756;10535;14035;66293;8386
"2014-05";98603;1713;10115;13478;64928;8369
"2014-06";95348;1640;9661;13030;62755;8262
"2014-07";92387;1528;9130;12498;60799;8432
"2014-08";93293;1531;9377;12557;61303;8525
"2014-09";96218;1568;9474;12487;63812;8877
"2014-10";98337;1645;9567;12169;66162;8794
"2014-11";98056;1717;9447;12055;66090;8747
"2014-12";96634;1771;9231;12387;64702;8543
"2014";98488;1666;9962;13191;65229;8440
"2015-01";99514;1835;9434;12482;67228;8535
"2015-02";98302;1812;9224;12263;66359;8644
"2015-03";96418;1759;9078;11971;64786;8824
"2015-04";94434;1718;8727;11605;63460;8924
"2015-05";92786;1701;8562;11351;62256;8916
"2015-06";89222;1616;8043;10973;59940;8650
"2015-07";86551;1499;7633;10634;58197;8588
"2015-08";85494;1498;7523;10430;57712;8331
"2015-09";89057;1544;7828;10449;60670;8566
"2015-10";91731;1642;8164;10294;63025;8606
"2015-11";91974;1690;8087;10299;63374;8524
"2015-12";90375;1754;8126;10741;61466;8288
"2015";92155;1672;8369;11124;62373;8616
"2016-01";93202;1776;8208;10700;64304;8214
"2016-02";92402;1755;8247;10461;63710;8229
"2016-03";90370;1710;8109;10225;62113;8213
"2016-04";89003;1722;7843;9825;61316;8297
"2016-05";86536;1718;7717;9456;59393;8252
"2016-06";83453;1597;7307;9243;57237;8069
"2016-07";80083;1490;7005;8867;54850;7871
"2016-08";79664;1440;6985;8699;54850;7690
"2016-09";82464;1511;7099;8685;57269;7900
"2016-10";83674;1604;7245;8583;58388;7854
"2016-11";84114;1597;7116;8507;59006;7888
"2016-12";82994;1668;7384;8853;57443;7646
"2016";85663;1632;7522;9342;59157;8010
"2017-01";86192;1644;7483;8763;60636;7666
"2017-02";86328;1665;7489;8775;60460;7939
"2017-03";84168;1602;7157;8473;58811;8125
"2017-04";81446;1589;6850;8258;56709;8040
"2017-05";79353;1533;6685;7934;55196;8005
"2017-06";75460;1434;6232;7565;52499;7730
"2017-07";72843;1362;5946;7283;50685;7567
"2017-08";72670;1365;6016;7277;50701;7311
"2017-09";76071;1448;6129;7235;53691;7568
"2017-10";77600;1514;6382;7043;55121;7540
"2017-11";77924;1502;6402;7073;55434;7513
"2017-12";76547;1560;6334;7285;54142;7226
"2017";78884;1518;6592;7747;55340;7686
"2018-01";79502;1568;6469;7163;56953;7349
"2018-02";79705;1627;6540;7273;56829;7436
"2018-03";77938;1597;6528;7271;55063;7479
"2018-04";75664;1520;6277;6876;53555;7436
"2018-05";73620;1443;6095;6581;52186;7315
"2018-06";70496;1357;5848;6355;49809;7127
"2018-07";67992;1268;5553;6100;48084;6987
"2018-08";68293;1268;5672;6072;48373;6908
"2018-09";70562;1344;5737;5975;50382;7124
"2018-10";72617;1431;5993;5954;52069;7170
"2018-11";73357;1463;5951;5977;52706;7260
"2018-12";72804;1513;5996;6259;51930;7106
"2018";73546;1450;6055;6488;52328;7225
"2019-01";75781;1524;6069;6319;54793;7076
"2019-02";76087;1544;6179;6266;54764;7334
"2019-03";75124;1509;5976;6171;54079;7389
"2019-04";72356;1474;5873;6007;51717;7285
"2019-05";70197;1378;5565;5758;50416;7080
"2019-06";67526;1271;5465;5575;48455;6760
"2019-07";65366;1205;5262;5442;46895;6562
"2019-08";65490;1184;5282;5453;47067;6504
"2019-09";67569;1246;5413;5331;48845;6734
"2019-10";70062;1352;5772;5393;50724;6821
"2019-11";70877;1396;5922;5476;51275;6808
"2019-12";69957;1449;5963;5914;50105;6526
"2019";70533;1378;5728;5759;50761;6907
"2020-01";72967;1456;6218;5984;52751;6558
"2020-02";72940;1425;6183;6040;52594;6698
"2020-03";77451;1395;6573;6829;55864;6790
"2020-04";83793;1433;7211;7657;60588;6904
"2020-05";83860;1446;7176;7404;60776;7058
"2020-06";80990;1429;6901;6945;58468;7247
"2020-07";77633;1419;6679;6599;55435;7501
"2020-08";77298;1454;6612;6449;55029;7754
"2020-09";78006;1491;6443;6235;55846;7991
"2020-10";79704;1550;6532;6192;57234;8196
"2020-11";81514;1606;6573;6243;58825;8267
"2020-12";82070;1657;6552;6545;58947;8369
"2020";79019;1480;6638;6594;56863;7444
"2021-01";84694;1703;6647;6633;61223;8488
"2021-02";85781;1708;6544;6633;62188;8708
"2021-03";84717;1639;6479;6451;61334;8814
"2021-04";83542;1631;6309;6311;60418;8873
"2021-05";79941;1575;6001;5996;57649;8720
"2021-06";72359;1379;5463;5613;52162;7742
"2021-07";65165;1242;4951;5097;47282;6593
"2021-08";61669;1198;4684;4857;45270;5660
"2021-09";64208;1255;4680;4873;47446;5954
"2021-10";65756;1299;4892;4831;48460;6274
"2021-11";66403;1321;4903;4987;48766;6426
"2021-12";64798;1348;4930;5100;47245;6175
"2021";73253;1442;5540;5615;53287;7369
"2022-01";66289;1345;4949;5042;48907;6046
"2022-02";66189;1350;4929;4918;48860;6132
"2022-03";66037;1326;4963;5019;48458;6271
"2022-04";63986;1292;4768;4983;46733;6210
"2022-05";62424;1265;4623;4810;45666;6060
"2022-06";60170;1193;4434;4689;43856;5998
"2022-07";58706;1123;4284;4643;42845;5811
"2022-08";59224;1135;4287;4604;43436;5762
"2022-09";61789;1179;4409;4598;45619;5984
"2022-10";62639;1167;4714;4541;46098;6119
"2022-11";63001;1168;4703;4614;46442;6074
"2022-12";61887;1157;4595;4766;45417;5952
"2022";62695;1225;4638;4769;46028;6035
"2023-01";64229;1164;4682;4773;47542;6068
"2023-02";63326;1155;4525;4640;46767;6239
"2023-03";61696;1112;4359;4476;45393;6356
"2023-04";60349;1099;4226;4445;44380;6199
"2023-05";58489;1059;4032;4296;43126;5976
"2023-06";55817;1041;3832;4192;40813;5939
"2023-07";54333;1000;3783;4123;39635;5792
"2023-08";54417;991;3713;4086;39825;5802
"2023-09";56337;1015;3814;4119;41400;5989
"2023-10";57908;1053;4021;4127;42708;5999
"2023-11";57984;1052;3919;4194;42656;6163
"2023-12";57372;1097;4001;4263;42164;5847
"2023";58521;1070;4076;4311;43034;6031
"2024-01";59216;1049;4058;4226;43915;5968
"2024-02";58835;1054;4063;4152;43558;6008
"2024-03";57559;1006;3940;4109;42468;6036
